lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
6041.401132192505,0.1660144059,6040.695884690243,6041.904920735155,1.0
6055.361872534754,0.1475779578,6054.654995314973,6055.866825254534,1.0
6057.685404619752,0.5208381739,6056.978256160707,6058.190551097374,1.0
6067.170386742064,0.7145156282,6066.462131046501,6067.676324166225,1.0
6080.178368167341,0.5257113509,6079.46859397529,6080.685390318681,1.0
6083.13023870063,0.1730159343,6082.420119919752,6083.637507006549,1.0
6084.40007825307,0.3573171592,6083.689811236518,6084.90745245009,1.0
6085.792546069756,0.1284503321,6085.082116502426,6086.300036383769,1.0
6087.9704170960895,0.328162491,6087.259733293348,6088.4780890213615,1.0
6091.900085863755,0.3657067872,6091.188943328176,6092.40808548157,1.0
6091.900161704389,0.3557398955,6091.189019159958,6092.408161328529,1.0
6093.605187651842,0.1390613004,6092.8938460699255,6094.113329456996,1.0
6093.606401178015,0.1302129597,6092.895059454437,6094.114543084364,1.0
6095.333378170728,0.27281442,6094.621834847191,6095.841664088574,1.0
6096.064803182595,0.1735466954,6095.35317447561,6096.573150093502,1.0
6098.356462371246,0.3289780047,6097.644566145704,6098.865000382134,1.0
6099.935161202049,0.149918508,6099.223080685912,6100.443830859614,1.0
6101.965064008127,0.0771815142,6101.25274652976,6102.473902937977,1.0
6104.414531129431,0.72711837,6103.701927710678,6104.923574318764,1.0
6106.822765599529,0.1066214535,6106.109881053714,6107.332009609981,1.0
6112.768534775196,0.2658033287,6112.054956145548,6113.278274599503,1.0
6113.3478335372065,0.1258322238,6112.634187282682,6113.8576216688625,1.0
6121.224546308891,0.2496557373,6120.50998056038,6121.734991274544,1.0
6123.917734786081,0.7736636094,6123.20285464619,6124.428404334984,1.0
6126.718025362526,0.1764503463,6126.002818328609,6127.228928425852,1.0
6127.9178365176185,0.2715818286,6127.202489422845,6128.428839632423,1.0
6129.606883751502,0.4187918947,6128.891339484529,6130.118027714866,1.0
6130.676543890993,0.2527160704,6129.960874756441,6131.187777052626,1.0
6131.835720869449,0.1802583838,6131.1199164175,6132.347050694102,1.0
6139.400713439034,0.7092885201,6138.684025881991,6139.912674103537,1.0
